question,label,correct_answer,option_2,option_3,option_4,option_5,
668.Which of the following stores data in magnetic form?,,HDD,SSD,CD,DVD,USB drive,
669.The output of 0101 OR 0011 is:,,111,11,101,1,1111,
670.The function of a router is to:,,Forward packets between networks,Print web pages,Store data,Copy files,Manage processes,
671.The OS process state where a process is ready and waiting for CPU is:,,Ready,Running,Blocked,Terminated,New,
672.The formula to convert binary to decimal is based on:,,Base-2 positional values,ASCII table,Boolean algebra,Base-10 fractions,Hexadecimal expansion,
673.A cookie in a web browser is used to:,,Store user preferences,Encrypt pages,Delete viruses,Open websites,Format disks,
674.A hybrid hard disk uses:,,Flash + Magnetic storage,ROM + RAM,Tape + SSD,Optical + Magnetic,SSD + SSD,
675.A Class A IP address range is:,,1–126,128–191,192–223,224–239,240–255,
676.Which is NOT a cyber attack type?,,Debugging,Phishing,DDoS,SQL injection,Ransomware,
677.The decimal value of 1110? is:,,14,12,13,15,16,
678.Which of the following is NOT a database model?,,Linear,Hierarchical,Relational,Object-oriented,Network,
679.The decimal equivalent of hex “1C” is:,,26,24,28,30,31,
680.The binary 10000? is equal to:,,16,15,17,18,20,
681.Which of the following is NOT a computing era technology?,,Quantum cables,Vacuum tubes,Transistors,Integrated circuits,VLSI,
682.A subnet mask is used for:,,Dividing networks,Encrypting packets,Speeding up browsing,Formatting storage,Database indexing,
683.The main component responsible for executing instructions is:,,CPU,HDD,GPU,RAM,ROM,
684.Which transmission mode sends data in both directions but not at the same time?,,Half-duplex,Simplex,Full-duplex,Hybrid,Dual,
685.A device that forwards broadcast packets is:,,Hub,Switch,Bridge,Router,Firewall,
686.The main memory size is measured in:,,GB,RPM,MHz,dB,DPI,
687.The process of converting high-level language into machine code is called:,,Compilation,Execution,Interpretation,Debugging,Linking,
688.Which of the following is not a characteristic of a supercomputer?,,Handheld portability,High processing speed,Scientific simulations,Weather forecasting,Massive parallelism,
689.Which device is used to read MICR text?,,Magnetic ink reader,OCR reader,Barcode reader,Scanner,RFID reader,
690.The decimal value of binary 101101? is:,,45,41,55,61,43,
691.Which component is essential for running virtual machines?,,Hypervisor,GPU,Firewall,NIC,BIOS,
692.The Python len() function returns:,,Length of the object,Largest value,Smallest value,Address of an object,Type of object,
693.A network where devices connect without cables is called:,,WLAN,Wired LAN,MAN,WAN,PAN wired,
694.A function that calls itself is called:,,Recursive,Iterator,Private function,Anonymous,Lambda,
695.Which of the following is NOT a web browser?,,Linux,Chrome,Edge,Safari,Firefox,
696.Which connector is used for wired Ethernet?,,RJ45,USB,HDMI,VGA,PS/2,
697.The term “firmware” refers to:,,Software embedded into hardware,App software,Hardware drivers,Portable software,System utilities,
698.Bluetooth supports maximum range of:,,1–10 meters,100 meters,500 meters,1 km,5 km,
699.Which device resolves domain names to IP addresses?,,DNS server,Router,Switch,Firewall,Proxy,
700.Which of the following components is responsible for predicting upcoming instructions to reduce pipeline stalls in modern CPUs?,,Branch predictor,Arithmetic Logic Unit,Control bus,Address decoder,DMA controller,
701.Which memory architecture allows both the CPU and GPU to share the same physical memory space?,,UMA,NUMA,Harvard architecture,Distributed memory,Shadow memory,
702.The purpose of microinstruction sequencing in a control unit is to:,,Ensure correct execution order of control signals,Increase register size,Improve binary encoding,Manage multiprogramming,Increase virtual memory,
703.Which of the following best describes ROM shadowing?,,Copying ROM content into RAM for faster execution,Copying RAM into ROM for faster execution,Copying ROM content into cache memory,Storing cache content into ROM,Copying ROM to virtual memory,
704.The process of breaking an instruction into multiple sub-stages to increase throughput is known as:,,Pipelining,Spooling,Scheduling,Multiplexing,Paging,
705.Which of the following addressing modes is used in stack operations PUSH and POP?,,Implicit addressing,Indexed addressing,Direct addressing,Immediate addressing,Register indirect addressing,
706.The main purpose of the Translation Lookaside Buffer (TLB) is to:,,Cache recent page table entries,Increase primary memory size,Provide direct access to virtual memory,Improve I/O throughput,Reduce fragmentation,
707.Which of the following best describes thrashing in an operating system?,,OS spends most time swapping pages instead of executing processes,CPU repeatedly executes the same instruction,Memory is completely filled with cache blocks,Hard disk sectors are damaged,Program counter jumps unpredictably,
"708.In RAID 5, data protection is achieved through:",,Block-level striping with distributed parity,Disk mirroring,Striping without parity,A single parity disk,Three-way redundancy,
709.The process of normalizing a database ensures:,,Minimization of redundancy,Faster CPU cycles,Elimination of functional dependencies,Data encryption,Reduced primary key length,
710.Which of the following data structures is used to implement recursive function calls?,,Stack,Queue,Priority queue,Array list,Tree,
711.Which of the following ensures integrity in a relational database?,,Constraints,Firewall,Hash functions,Indexing,Firewall,
712.The main advantage of star topology over bus topology is:,,Easier fault isolation,Less cable required,Entire network fails if one cable breaks,No need for a hub/switch,Higher security,
713.Which of the following best explains the purpose of the microprogram stored inside the control unit of a CPU?,,It interprets and generates control signals required to execute machine instructions.,It stores user-level instructions permanently.,It stores intermediate ALU results.,It manages data transfer between CPU and secondary storage.,It holds the list of hardware interrupts.,
714.The term pipeline hazard in modern processors refers to:,,Conditions that prevent the next instruction from executing in the following clock cycle.,Execution of multiple threads in parallel.,Failure of an interrupt request.,Overflow of control signals in the bus system.,Loss of data during DMA operation.,
715.Which of the following memory access methods provides the fastest access time?,,SRAM,Magnetic disk,DRAM,Flash memory,Virtual memory,
716.Which of the following is not a feature of RISC architecture?,,Multiple clock cycles for a single instruction,Large number of general-purpose registers,"Simple, fixed-length instructions",Hardwired control unit,Load–store architecture,
"717.In virtual memory systems, a page fault occurs when:",,A referenced page is not found in main memory.,The CPU executes an invalid instruction.,Two processes attempt to access the same address.,Cache memory is full.,The TLB overflows.,
718.A half adder does not include which of the following logic gates?,,OR,XOR,AND,None of the above,,All of the above
719.A computer system’s bus width most directly affects its:,,Data transfer capacity per cycle,Heat dissipation rate,Ability to multitask,Amount of cache memory,Power consumption,
720.Which of the following memory types is volatile and directly accessible by the CPU?,,RAM,EPROM,Flash memory,Hard disk,SSD,
721.Which of the following is the primary purpose of DMA (Direct Memory Access)?,,Allow I/O devices to access memory without CPU intervention,Increase CPU clock speed,Encrypt data during transfer,Manage virtual memory,Perform parallel processing,
722.Which addressing mode uses a constant value embedded inside the instruction?,,Immediate,Direct,Indirect,Indexed,Relative,
723.ROM in modern computer systems is mostly used for storing:,,Boot firmware,Application software,Temporary variables,Paging files,User-defined settings,
"724.In a pipelined CPU, which situation causes pipeline stalls?",,Branch instructions,Excessive RAM size,,Multithreading,Cache hit,
725.Which of the following is not a characteristic of RISC architecture?,,Microprogrammed control unit,Simple instruction set,Load–store architecture,Fixed instruction length,High instruction throughput,
726.The binary number 101101.011? is equal to:,,45.375,45.25,45.5,46.375,46.5,
727.The process of moving pages between RAM and secondary storage is known as:,,Swapping,Page framing,Segmentation,Clustering,Formatting,
728.Thrashing occurs when:,,Page faults occur too frequently,CPU overheats,Cache memory overflows,Disk read/write heads malfunction,Power supply becomes unstable,
729.The role of a device driver in an OS is to:,,Provide an interface between OS and hardware,Manage the BIOS,Handle memory fragmentation,Convert high-level languages to machine code,Perform error correction,
730.A process in “Ready” state is:,,Waiting to be assigned to CPU,Executing on CPU,Waiting for I/O,Terminated,Blocked due to deadlock,
731.Which of the following is NOT an OS?,,Oracle,UNIX,Solaris,MS-DOS,Linux,
732.Which algorithm is best for avoiding deadlock?,,Banker’s Algorithm,SJF,FCFS,DFS,Worst Fit,
733.Which term is used for mapping logical addresses to physical addresses?,,Address binding,Linking,Hashing,Paging,Masking,
"734.In preemptive scheduling, a running process may be interrupted:",,By the scheduler at any time,Only after finishing I/O,Only when RAM is full,Only on system calls,Only during context switching,
735.A Half-Adder does NOT produce which output?,,Product,Sum,Carry,Binary result,None of the above,
736.A NAND gate followed by a NOT gate is equivalent to:,,AND,OR,NOR,XOR,XNOR,
737.The hexadecimal value A3 converts to binary as:,,10100011?,11110011?,10111100?,10011001?,10110011?,
738.110100? right-shifted by 2 places gives:,,1101?,1110?,001101?,11010000?,00110100?,
739.Which layer handles route selection?,,Network,Application,Transport,Data Link,Physical,
740.A packet collision is most common in which topology?,,Bus,Star,Mesh,Ring,Hybrid,
741.The device that converts digital data to analog signals over telephone lines is a:,,Modem,Router,Bridge,Hub,Switch,
742.Which of the following best explains the purpose of microkernel architecture in operating systems?,,To minimize the kernel size by keeping essential services only,To include all OS services inside the kernel for faster performance,To remove user processes from memory completely,To execute OS services only in kernel mode,To convert monolithic OS into layered OS,
"743.In a CPU pipeline, a structural hazard occurs when:",,Two instructions require the same hardware resource at the same time,The next instruction depends on the previous instruction’s result,Incorrect branch prediction leads to flushing,Cache misses delay instruction execution,The instruction decoder fails to identify opcodes,
744.Which of the following is NOT a characteristic of RISC architecture?,,Highly complex instructions,Large number of general-purpose registers,Simple instruction formats,Single cycle instruction execution,Load/Store architecture,
745.The time taken by the read/write head of a hard disk to move to the correct track is called:,,Seek time,Latency,Transfer time,Access time,Propagation time,
"746.In a database, the concept of “lossless decomposition” ensures that:",,Decomposed tables can be joined back without data loss,All anomalies are eliminated,Every table has a primary key,No multivalued attributes exist,No redundant tuples exist,
747.Which of the following SQL statements is used to remove a table completely from a database?,,DROP TABLE table_name,DELETE TABLE table_name,REMOVE table_name,CLEAR TABLE table_name,DELETE * FROM table_name,
748.A relation is in 3NF if:,,It is in 2NF and every non-key attribute depends only on the primary key,It has no partial dependencies,It has no transitive dependencies,All attributes are atomic,It has no candidate keys,
"749.In object-oriented programming, “dynamic binding” refers to:",,Binding function calls at runtime,Binding function calls at compile time,Creating objects dynamically,Overloading functions,Preventing inheritance,
750.A digital signature ensures:,,Integrity and authentication,Encryption only,Error correction,Integrity and authentication,,
751.Which layer of OSI is responsible for defining encryption and compression?,,Presentation,Transport,Network,Session,Application,
752.Which of the following is NOT a function of an operating system?,,Application compilation,Memory management,Process scheduling,File management,Device handling,
753.UDP is suitable for:,,Video conferencing,Banking transactions,Remote login,Email delivery,File transfer,
754.Which of the following best describes static RAM (SRAM) used in cache memory?,,Uses flip-flop circuits and does not require refreshing,Uses magnetic disks to store data,Uses capacitors and requires periodic refreshing,Uses optical cells for fast access,Stores data permanently without power,
"755.In DMA (Direct Memory Access), data transfers occur:",,Without the involvement of the CPU,Only through the CPU cache,Under CPU control step-by-step,Through the ALU,Only between two I/O devices,
756.Which of the following correctly represents the two’s complement of binary number 01101000??,,10010111?,10011000?,11011000?,10011000?,10110111?,
757.The OS mechanism that prevents two processes from accessing the same critical section simultaneously is known as:,,Mutual exclusion,Deadlock,Context switching,Process starvation,Spooling,
758.A star topology network becomes inoperable if:,,The central hub/switch fails,One node fails,One cable segment fails,Any workstation is disconnected,A user logs out,
759.Which of the following is a lossless compression technique?,,PNG,JPEG,MPEG,MP3,H.264,
760.The primary purpose of the normalization process in database design is to:,,Reduce data redundancy and anomalies,Increase performance,Increase table size,Encrypt all table columns,Remove all foreign keys,
"761.In a transaction, the property that ensures partial changes are not saved during a system failure is:",,Atomicity,Consistency,Isolation,Durability,Concurrency,
762.The number of possible IPv4 addresses is:,,2³²,2¹?,2²?,2??,2??,
763.Which of the following best describes the concept of interrupt-driven I/O?,,I/O device notifies CPU only when attention is required,CPU continuously checks each device for data,CPU halts until I/O device completes its task,CPU and I/O operate without any synchronization,CPU processes I/O requests strictly in FIFO order,
"764.Which bus is responsible for transferring actual binary data between processor, memory, and I/O devices?",,Data bus,Control bus,Address bus,Memory bus,Expansion bus,
765.The CPU scheduling algorithm that is most suitable for real-time systems is:,,Priority scheduling,FCFS,SJF,Round Robin,Multilevel queue,
766.A normalized database reduces redundancy primarily through:,,Splitting data into logical tables,Data replication,Creating larger tables,Encrypting data,Partitioning database physically,
767.Which TCP/IP layer is responsible for logical addressing and routing?,,Internet,Application,Transport,Link,Session,
768.Which type of malware appears legitimate but performs malicious activities in the background?,,Trojan horse,Worm,Virus,Logic bomb,Spyware,
769.A star topology network requires:,,A central controlling node,No central device,Multiple token-passing rings,Point-to-point cabling between every pair of devices,No cabling,
770.The main objective of an operating system’s deadlock prevention technique is to:,,Eliminate at least one necessary condition for deadlock,Recover from deadlock automatically,Detect deadlock after it occurs,Reduce CPU usage,Increase disk throughput,
771.Which SQL clause is used to remove duplicate rows from the result?,,DISTINCT,UNIQUE,GROUP BY,HAVING,CLEAR,
772.The number of binary digits required to represent 1024 unique values is:,,10,8,9,11,12,
773.Which of the following storage types is volatile?,,RAM,ROM,Flash memory,SSD,EEPROM,
774.The minimum number of bits needed to represent 200 different characters is:,,9 bits,6 bits,7 bits,8 bits,10 bits,
775.Which network device operates at the data link layer?,,Switch,Hub,Router,Gateway,Repeater,
776.A one-to-many relationship in an ER diagram is represented by:,,Crow’s foot,Single line,Double line,Triangle,Rectangle,
777.The main purpose of indexing in databases is to:,,Speed up query processing,Reduce table size,Provide encryption,Merge tables,Enforce foreign keys,
778.Which protocol is responsible for reliable data transfer?,,TCP,UDP,IP,ARP,ICMP,
"779.Which process model is most suitable for large, complex projects with unclear requirements?",,Spiral,Waterfall,V-Model,Agile,Iterative,
"780.In a database, a foreign key ensures:",,Referential integrity,Uniqueness of each row,Minimum redundancy,Data encryption,Data compression,
781.The main purpose of virtual memory is to:,,Allow execution of large programs,Increase CPU speed,Reduce RAM size,Protect data,Increase cache speed,
782.Which Boolean expression corresponds to the truth table where output is TRUE only when inputs differ?,,XOR,AND,OR,NAND,XNOR,
783.A compiler that processes one statement at a time and generates immediate machine code is called:,,Single-pass compiler,Multi-pass compiler,Just-in-time compiler,Interpreter,Loader,
784.Which of the following is a non-relational database model?,,Hierarchical,Relational,Deductive,Star schema,Snowflake,
785.The OS component responsible for file organization and access is:,,File system manager,Process manager,Memory manager,Device manager,Scheduler,
"786.In virtual memory systems, the page table mainly stores:",,Mapping between logical pages and physical frames,Physical memory addresses of CPU registers,The list of running processes,Cache hit and miss statistics,Segmentation boundaries,
787.The process of dividing a network into multiple smaller subnetworks improves:,,Network security and performance,Physical data transfer rate,Routing table complexity,Broadcast domain size,Cable attenuation,
788.Which of the following buses is mainly responsible for transferring control signals between CPU and other components?,,Control bus,Data bus,Address bus,System bus,Expansion bus,
789.Which protocol is responsible for dynamically assigning IP addresses to devices on a network?,,DHCP,DNS,SMTP,FTP,ARP,
"790.In databases, the property that ensures changes made during a transaction are permanent even after a system failure is:",,Durability,Atomicity,Consistency,Isolation,Volatility,
791.The binary number 101101? is equivalent to which hexadecimal value?,,2D,1B,2E,3F,5D,
792.The component that determines the next instruction to be executed in a CPU is:,,Program Counter,Memory Data Register,Memory Address Register,Control Unit,Cache Controller,
793.The device driver in an operating system acts as:,,Interface between OS and hardware,Hardware replacement,Application software,Memory manager,GUI rendering engine,
794.Which of the following is NOT a characteristic of solid-state drives (SSD)?,,High risk of mechanical failure,No moving parts,Lower latency compared to HDD,Uses flash memory,Faster read/write speed,
"795.In memory hierarchy, which memory type offers the lowest access time?",,Cache,RAM,Magnetic tape,SSD,Virtual memory,
796.Which port is used for encrypted HTTPS communication?,,443,20,21,80,110,
797.The hexadecimal number A3 converts to decimal:,,163,135,256,243,167,
798.A modem converts:,,Analog to digital and digital to analog,Analog to analog,Digital to digital,Digital to binary,Signals to packets,
"799.In the SDLC, feasibility analysis is performed during the:",,Planning phase,Design phase,Implementation phase,Testing phase,Deployment phase,
800.Which of the following attacks exploits a buffer boundary issue?,,Buffer overflow,DDoS,Brute force,Social engineering,Phishing,
"801.A high-speed memory unit located inside the CPU, used to temporarily store data during instruction execution, is known as",,Registers,Virtual memory,Cache memory,DRAM,EEPROM,
"802.The performance of a microprocessor is mainly determined by its clock speed measured in …………, and its word size measured in ……….",,"Gigahertz, bits","Megahertz, bits","Hertz, characters","Gigahertz, bytes","Megahertz, bytes",
803.Cache memory is primarily used to store,,Frequently accessed data temporarily,The least used instructions permanently,Boot instructions only,The OS kernel permanently,Data that must never be lost,
804.The technique of sharing a single CPU among several programs using rapid switching is called,,Multitasking,Multithreading,Parallel processing,Distributed processing,Time-triggered scheduling,
805.Babbage’s Analytical Engine was operated based on,,Mechanical gears,Vacuum tubes,Transistors,LSI circuits,Magnetic drums,
806.Which of the following is NOT a component located inside the CPU?,,DRAM modules,ALU,Registers,L1 Cache,DRAM modules,
807.Which of the following is an advantage of RISC processors over CISC?,,Simple instructions with fixed size,,,Improving disk scheduling,Reducing network latency,
808.Which technology is used in SSDs for data storage?,,Flash memory cells,Magnetic platter rotation,Optical laser pulses,Metal-oxide drum rotation,Vacuum tube storage,
809.Which bus is responsible for transferring memory addresses from CPU to memory?,,Address bus,Data bus,Control bus,Pipeline bus,Master bus,
810.Which layer of the OSI Model ensures reliable delivery through acknowledgments and sequencing?,,Transport,Network,Data link,Session,Presentation,
811.A parity bit is used primarily for,,Error detection,Encryption,Compression,Authentication,Access control,
812.Which of the following best identifies a Class C IPv4 network?,,192.0.0.0 – 223.255.255.0,1.0.0.0 – 126.0.0.0,128.0.0.0 – 191.255.0.0,224.0.0.0 – 239.0.0.0,240.0.0.0 – 255.0.0.0,
813.The hexadecimal number 3F.A?? is equal to:,,63.5,63.625,63.3125,62.625,62.75,
814.Which of the following is equivalent to the binary number 101110.011??,,46.375,46.25,46.5,47.375,47.25,
815.Simplify the Boolean expression A?B + AB + A?B?.,,1,A + B?,B + A?,A + B,A,
816.Which of the following represents XOR?,,AB? + A?B,AB + A?B?,A?B?,(A + B)(A? + B?),AB,
817.The number 255?? requires how many bits in binary?,,8,7,9,10,16,
818.The decimal equivalent of 11100101? is:,,225,227,229,226,224,
819.The 1’s complement of 10110010? is:,,Absorption,Idempotent,Complement,Identity,Involution,
820.Which is equivalent to (A + B?)(A + B)?,,A,B,AB,A + B,A? + B?,
821.The output of a full adder is 1 when:,,odd number of inputs are 1,one input is 1,all inputs are 1,all inputs are 0,only two inputs are 1,
822.How many 4-input minterms exist?,,16,4,8,12,32,
823.Gray code for 1011? is:,,1101,1110,1001,1010,1111,
824.Which circuit detects negative numbers in 2’s complement?,,MSB check,Overflow detection circuit,Decoder,Multiplexer,Comparator,
825.Largest unsigned 10-bit value:,,1023,511,255,2047,4095,
826.Which expression equals A XOR B?,,(A+B?)(A?+B),(A+B)(A?+B?),AB + A?B?,AB,0,
827.Complement of (A + B?C) is:,,A?B?C,A?BC?,A? + BC?,A?B + C?,A?B? + C,
828.Decimal of 7F?? is:,,127,128,120,125,126,
829.Which gate is universal?,,NAND,XOR,AND,OR,XNOR,
830.Word size of a CPU mainly depends on:,,Register size,ALU,Control unit,Cache size,System clock,
831.ROM is used for:,,permanent instructions,temporary variables,user data,swapping,buffering,
832.Opcode identifies:,,operation,data location,memory access method,register,status flag,
833.Which is an embedded system?,,Microwave oven controller,PC,Laptop,Server,Cloud VM,
834.Which is NOT an input device?,,Dot matrix printer,OMR,Barcode reader,Keyboard,Mouse,
835.RAID improves:,,Disk performance & reliability,Networking,CPU speed,Display,Boot time,
836.ALU performs:,,arithmetic + logical,logical operations only,arithmetic operations only,control flow,DMA,
837.MICR is used in:,,Banks,Hospitals,Schools,Railway,Airports,
838.Which technology uses laser?,,Optical disk,Magnetic disk,SSD,Cache,ROM,
839.Virtual memory extends:,,RAM using disk,,ROM,GPU,Cache,
840.DMA transfers data:,,bypassing CPU,via CPU,using ROM,through cache,via USB,
841.SSD uses:,,NAND flash,optical laser,tape,ROM,magnetic storage,
842.Register used to store next instruction:,,PC,IR,MAR,MDR,AC,
843.The clock speed is measured in:,,Hz,bytes,dB,MHz only,bps,
844.Which improves performance most?,,More cache,Larger HDD,More DVD,More USB ports,Bigger keyboard,
845.Interrupt is:,,both,software only,hardware only,never used,used only in RAM,
846.Which protocol uses three-way handshake?,,TCP,UDP,ICMP,SMTP,FTP,
847.Which statement about UDP is correct?,,faster than TCP,used for email,connection-oriented,guaranteed delivery,used for file transfer,
848.A private Class C IP address is:,,192.168.1.1,10.0.0.1,172.16.0.1,224.0.0.1,240.0.0.1,
849.Which is not a transmission impairment?,,multicast,attenuation,distortion,noise,interference,
850.What is the maximum length of a MAC address?,,48 bits,32 bits,64 bits,16 bits,128 bits,
851.ICMP is used for:,,error reporting,port control,routing,encryption,authentication,
"852.In OSI, encryption is done at:",,Presentation,Physical,Data Link,Network,Transport,
853.Which is a valid SQL command?,,SELECT * FROM table;,CHANGE TABLE,MODIFY DATABASE,FETCH ALL table;,UPDATE * table;,
854.Foreign key ensures:,,referential integrity,domain integrity,entity integrity,user integrity,record integrity,
855.The degree of a relation is:,,number of columns,number of rows,number of foreign keys,number of relations,number of entities,
856.Cardinality refers to:,,instances between entities,attributes per entity,key constraints,number of tables,data types,
857.SQL to sort ascending:,,ORDER BY ASC,ORDER IN ASC,SORT,FILTER ASC,ARRANGE BY ASC,
858.An attribute that depends on part of a composite key indicates:,,2NF violation,1NF,3NF violation,BCNF,redundant key,
859.Many-to-many relationship is resolved using:,,associative table,view,foreign key,partial entity,trigger,
860.Which symbol denotes multivalued attribute in ERD?,,double oval,underlined,dashed,diamond,rectangle,
861.A relation with no partial dependency is in:,,2NF,1NF,3NF,BCNF,4NF,
862.Which is NOT a database model?,,Duplex,Relational,Hierarchical,Network,Distributed,
863.What is the output of this python cde? print(3**2//4),,2,1,9,0,4,
864.Which of the following is NOT a loop structure in Python?,,repeat,for,while,nested for,for-each,
865.Which operation removes last item from a list in Python?,,pop(),remove(),discard(),delete(),erase(),
866.The return type of len() is:,,integer,float,char,string,boolean,
867.Which function reads input from user?,,input(),read(),scanf(),get(),user(),
868.Which is not a valid variable name?,,3num,name1,_x,total_value,value,
869.The “break” statement is used to:,,exit loop,skip one iteration,pause program,restart loop,throw exception,
"870.In Python, a function that does not have return statement returns:",,None,0,null,empty string,FALSE,
871.A variable declared inside a function is:,,local,global,static,private,constant,
872.Which attribute specifies the image location?,,src,link,url,path,href,
873.Which CSS property changes text color?,,color,fg,text-color,foreground,font-color,
874.Which is NOT a CSS selector?,,inline selector,id selector,class selector,element selector,universal selector,
875.Which of the following is system software?,,Ubuntu,MS Word,Photoshop,Oracle DB,Chrome,
876.A process in ready state is:,,ready to run,waiting for I/O,using CPU,terminated,swapped out permanently,
877.Thrashing happens due to:,,insufficient RAM,too many interrupts,low CPU usage,high disk bandwidth,absence of cache,
878.Round Robin scheduling uses:,,time quantum,priority,random selection,shortest time,FIFO,
879.The phase where system requirements are gathered is:,,analysis,design,implementation,testing,maintenance,
880.Waterfall model is:,,linear sequential,,spiral,incremental,agile,
881.Which diagram shows the interaction between objects over time?,,sequence diagram,use-case diagram,activity diagram,class diagram,component diagram,
882.Which is NOT a feasibility study type?,,graphical,technical,economic,operational,schedule,
883.The primary purpose of DFD is to represent:,,data flow,user interface,hardware structure,project schedule,testing steps,
884.Which SDLC model handles high-risk projects well?,,spiral,waterfall,V-model,incremental,agile,
"885.In a class diagram, a dashed arrow with an open arrowhead represents:",,dependency,inheritance,association,composition,aggregation,
886.Which is a black-box testing method?,,boundary value,debugging,code inspection,condition coverage,statement coverage,
887.A system requirement that describes system behavior is a:,,functional requirement,non-functional requirement,operational requirement,feasibility requirement,managerial requirement,
888.Which is NOT an agile practice?,,Gantt chart,sprints,daily stand-up,pair programming,continuous integration,
889.Which document contains detailed system requirements?,,SRS,DDS,TDD,ERD,HLD,
890.Gantt charts are used for:,,scheduling,coding,debugging,testing,authentication,
891.The process of converting requirements into a design model is:,,design,analysis,deployment,maintenance,testing,
892.Full-duplex means:,,two-way simultaneously,one-way,two-way but not at same time,broadcast only,no communication,
893.An example of guided media is:,,fiber optic,radio,satellite,infrared,microwave,
894.Which device works in Physical and Data Link layers?,,switch,repeater,router,gateway,firewall,
895.Which is an example of biometric authentication?,,fingerprint,password,OTP,PIN,QR code,
896.Big Data is characterized by:,,all of the above,velocity,volume,variety,none,
897.The decimal value of the binary number 11010? is:,,26,22,25,28,30,
898.Which of the following represents 2’s complement of 00101100??,,11010101,101110,11010100,11010110,11101100,
899.The octal equivalent of binary 110011? is:,,67,63,43,32,53,
900.Hexadecimal C3?? equals:,,1100 0011?,1101 0011?,1110 0011?,1000 1111?,0101 1101?,
901.A weak entity depends on:,,owner entity,primary key,composite attribute,ternary relationship,multivalued attribute,
902.A many-to-many relationship is resolved by:,,composite table,single table,weak entity,nested relation,duplicate fields,
903.Which HTML attribute sets the text shown when the mouse hovers over an image?,,title,tip,caption,alt,hover,
904.The default display type for <span> is:,,inline,block,inline-block,none,flex,
905.Which CSS property controls text size?,,font-size,size,fontsize,text-size,font,
906.Which HTML attribute forces a field to be filled in a form?,,required,mandatory,check,needed,force,
907.Which is NOT a guided transmission medium?,,microwave,twisted pair,coaxial,fiber optic,copper wire,
908.The process of adding extra bits to detect errors:,,parity checking,switching,routing,modulating,encrypting,
909.The OSI layer responsible for encryption:,,presentation,session,transport,data link,physical,
910.Fiber optic uses:,,light,radio waves,infrared,electrical signals,microwaves,
911.A variable that can hold multiple values in Python:,,list,int,float,bool,char,
912.Which loop guarantees at least one execution?,,do-while,for,while,nested while,infinite loop,
913.The range(5) function generates:,,0–4,1–5,0–5,1–4,1–6,
914.Which data type is used to store True/False?,,bool,int,char,tuple,float,
915.A type of cyber attack where the attacker encrypts data and demands payment:,,ransomware,virus,worm,Trojan,spyware,
916.Which is a functional requirement?,,login validation,response time,encryption level,availability,throughput,
917.The binary value of hexadecimal 9F?? is:,,1001 111,1010 1111,1001 0111,1111 1001,0111 1001,
918.The decimal equivalent of 101011? is:,,43,41,45,50,50,
919.he 1’s complement of 01010110? is:,,10101010,1010101,110011,10101001,10100001,
920.The octal equivalent of 111010? is:,,72,64,72,65,56,
921.A half-adder can add:,,2 bits without carry in,2 bits with carry in,3 bits,4 bits,only decimal numbers,
922.The 2’s complement of 1000 0000? (8-bit) is:,,1000 0000,1111 1111,0000 0000,overflow,0000 0001,
923.A multitasking OS allows:,,multiple tasks appear to run simultaneously,one program at a time,only background processes,only GUI programs,execution of OS only,
924.A file allocation method without external fragmentation:,,linked,contiguous,indexed,sequential,track-based,
925.When CPU switches between processes:,,context switch,deadlock,interrupt,swapping,thrashing,
926.Which is NOT an application software?,,BIOS,MS Excel,VLC,MS Paint,Zoom,
927.A spooling system manages:,,printing tasks,keyboard input,network packets,memory allocation,BIOS startup,
928.Time slicing is used in:,,time-sharing OS,batch OS,real-time OS,network OS,distributed OS,
929.Fragmentation occurs when:,,free blocks are scattered,free blocks are scattered,CPU overheats,swapping stops,disk fails,
930.The boot loader is stored in:,,hard disk MBR,RAM,USB,cache,video memory,
931.SQL keyword used to rename a column:,,AS,CHANGE,MODIFY,RENAME COLUMN,TITLE,
932.Which is a many-to-many relationship?,,students – courses,one teacher – one class,one student – one ID,hospital – address,shop – owner,
933.A superkey is:,,any key that uniquely identifies tuples,a minimal key,only primary key,only foreign key,composite key only,
934.A primary key cannot contain:,,NULL,numbers,characters,names,composite values,
935.Phishing is a type of attack used to:,,steal login details,hack servers physically,damage hardware,destroy OS,jam wireless signals,
936.An advantage of e-commerce:,,reduced transaction cost,limited reach,physical presence required,manual payment only,fixed operating hours,
937.The core of an operating system is the:,,kernel,shell,interface,file manager,utility,
"938.In relational algebra, the operator ? represents:",,selection,projection,join,union,rename,
939.Which is a lossless join decomposition?,,common attribute is a superkey,FDs are cyclic,tables are identical,PK contains null,relations are disjoint,
940.A relation is in BCNF if:,,every determinant is a candidate key,every non-key attribute depends on key,no transitive dependencies,no null values,PK is composite,
941.The worst case of Quick Sort occurs when:,,pivot is largest or smallest,pivot is always median,list is random,recursion depth is 1,memory is low,
942.The device used to avoid signal attenuation:,,repeater,hub,switch,router,firewall,
943.CSS property for border color:,,border-color,bordercolor,color-border,bgcolor,style-border,
944.The OS that supports multitasking:,,Windows 10,DOS,MS-DOS,BIOS,Bootloader,
945.Which sorting method uses partitioning?,,Quick,Merge,Bubble,Selection,Heap,
946.What is the binary of 29???,,11101,11100,10111,11011,10011,
947.IP address 172.16.0.1 belongs to:,,Class B,Class A,Class C,Class D,Class E,
